Timestamp,Speaker,Text
[00:00:00],Joe Rogan,"Ah, ha, ha, ha. Four, three, two, one, boom. Thank you. Thanks for doing this, man. Really appreciate it."
[00:00:09],Elon Musk,You're welcome.
[00:00:10],Joe Rogan,It's very good to meet you.
[00:00:11],Elon Musk,Nice to meet you too.
[00:00:12],Joe Rogan,And thanks for not lighting this place on fire.
[00:00:13],Elon Musk,You're welcome. That's coming later.
[00:00:16],Joe Rogan,"How does one, just in the middle of doing all the things you do, create cars, rockets, all the stuff you're doing,constantly innovating, decide to just make a flamethrower? Where do you have the time for that?"
[00:00:30],Elon Musk,"Well, the flame, we didn't put a lot of time into the flamethrower. This was an off-the-cuff thing. It's sort of a hobbycompany called the Boring Company, which started out as a joke, and we decided to make a real, and dig a tunnelunder LA. And then, other people asked us to dig tunnels. And so, we said yes in a few cases."
[00:01:02],Joe Rogan,"Now, who-"
[00:01:02],Elon Musk,"And then, we have a merchandise section that only has one piece of merchandise at a time. And we started off witha cap. And there was only one thing on, which is BoringCompany.com/hat. That's it. And then, we sold the hats,limited edition. It just said, ""The Boring Company."""
[00:01:23],Elon Musk,"And then, I'm a big fan of Spaceballs, the movie. And in Spaceballs, Yogurt goes through the merchandisingsection, and they have a flamethrower in the merchandising section of Spaceballs. And, like, the kids love that one.That's the line when he pulls up the flamethrower. It's like, ""We should do a flamethrower."" So, we-"
[00:01:51],Joe Rogan,"Does anybody tell you no? Does anybody go, ""Elon, maybe for yourself, but selling a flamethrower, the liabilities, allthe people you're selling this device to, what kind of unhinged people are going to be buying a flamethrower in thefirst place? Do we really want to connect ourselves to all these potential arsonists? https://sonix.ai/"
[00:02:11],Elon Musk,"Yeah, it's a terrible idea. It's terrible. Don't buy one. I said, ""Don't buy this flamethrower. Don't buy it. Don't buy it.""That's what I said, but, still, people bought it."
[00:02:22],Joe Rogan,Yeah.
[00:02:23],Elon Musk,There's nothing I can do to stop them. I did not stop them.
[00:02:24],Joe Rogan,"You build it, they will come."
[00:02:25],Elon Musk,"I said, ""Don't buy it. It's a bad idea."""
[00:02:29],Joe Rogan,How many did you make?
[00:02:30],Elon Musk,"It's dangerous. It's wrong. Don't buy it. And, still, people bought it. I just couldn't stop them."
[00:02:38],Joe Rogan,How many did you make?
[00:02:40],Elon Musk,"20,000."
[00:02:43],Joe Rogan,And they're all gone?
[00:02:44],Elon Musk,"In three -- I think, four days. They sold out in four days."
